"participant","session","run","collisions","duration","distance","cumrun","fluency","absorption","flow","pi1","pi2","pi3","comp1","comp2","comp3"
"01",1,1,26,233.610490237144,24196.5668000023,1,4.75,6,5.44444444444444,5,2,3,NA,NA,NA
"01",1,2,30,204.850638268408,24197.4703999998,2,4.5,4.6,4.55555555555556,3,2,2,NA,NA,NA
"01",1,3,20,190.188661599009,24199.0428000008,3,5.25,5.4,5.33333333333333,5,3,2,NA,NA,NA
"01",1,4,13,181.412324951007,24197.9300000001,4,5,5,5,4,3,2,NA,NA,NA
"01",1,5,18,188.926681906374,24197.8879999995,5,4.25,4.6,4.44444444444444,4,3,2,3,5,4
"01",2,1,18,184.579835886993,24197.5803999998,6,4,4.8,4.44444444444444,3,3,3,NA,NA,NA
"01",2,2,21,173.169488517063,24196.4863999981,7,5.5,5.6,5.55555555555556,4,4,3,NA,NA,NA
"01",2,3,20,187.344186754126,24196.8391999999,8,4,5,4.55555555555556,4,3,3,NA,NA,NA
"01",2,4,15,173.956964221453,24197.6795999985,9,5,5.8,5.44444444444444,5,3,2,NA,NA,NA
"01",2,5,15,197.190368844665,24198.8224000003,10,3.75,4.2,4,3,3,3,3,5,4
"01",3,1,21,180.837505400379,24196.5400000008,11,4.75,4.6,4.66666666666667,4,3,3,NA,NA,NA
"01",3,2,17,183.285636406015,24198.2896000005,12,4.25,5.2,4.77777777777778,4,4,4,NA,NA,NA
"01",3,3,8,165.785859004029,24197.8355999994,13,6.25,5.6,5.88888888888889,5,4,3,NA,NA,NA
"01",3,4,18,179.200532284758,24197.238000001,14,4.5,5.6,5.11111111111111,4,3,3,NA,NA,NA
"01",3,5,13,179.318221780765,24198.8791999995,15,5,5,5,3,4,3,3,5,4
"01",4,1,15,180.257164820868,24198.1175999992,16,5,5,5,4,3,3,NA,NA,NA
"01",4,2,12,181.800892000328,24198.0888000003,17,4.5,4.2,4.33333333333333,4,3,4,NA,NA,NA
"01",4,3,15,175.55065453017,24197.6691999993,18,5.25,5,5.11111111111111,4,4,4,NA,NA,NA
"01",4,4,12,164.389985976095,24199.4255999996,19,5.25,5.4,5.33333333333333,5,5,4,NA,NA,NA
"01",4,5,17,171.214371430633,24196.5743999984,20,4.25,4.6,4.44444444444444,4,4,3,3,5,4
"01",5,1,14,186.79153509097,24198.7576000008,21,3.75,4.2,4,5,4,4,NA,NA,NA
"01",5,2,12,170.183764355485,24198.3927999991,22,5,5.4,5.22222222222222,5,4,4,NA,NA,NA
"01",5,3,11,172.16527825456,24196.8747999986,23,5.5,5.4,5.44444444444444,4,3,3,NA,NA,NA
"01",5,4,15,168.996609833117,24197.9227999989,24,5.5,5.8,5.66666666666667,4,3,3,NA,NA,NA
"01",5,5,8,169.080455815922,24197.9487999997,25,5.5,6,5.77777777777778,4,4,3,3,5,4
"01",6,1,10,162.569549566946,24198.5291999997,26,5,5.4,5.22222222222222,4,4,2,NA,NA,NA
"01",6,2,9,163.549287296261,24199.2691999998,27,5.75,5.8,5.77777777777778,5,4,2,NA,NA,NA
"01",6,3,8,165.324009085315,24199.4135999993,28,5.5,5.8,5.66666666666667,4,4,2,NA,NA,NA
"01",6,4,10,165.560637356872,24198.9295999997,29,5.25,6,5.66666666666667,4,4,2,NA,NA,NA
"01",6,5,5,162.152193894817,24198.8035999997,30,6,6,6,5,4,2,2,5,3
"01",7,1,12,167.798872527376,24198.871599999,31,4.5,5.8,5.22222222222222,4,3,3,NA,NA,NA
"01",7,2,14,165.583737711697,24198.5867999991,32,5,5.8,5.44444444444444,4,3,2,NA,NA,NA
"01",7,3,10,166.604696307237,24197.4635999991,33,5,5.2,5.11111111111111,3,3,2,NA,NA,NA
"01",7,4,15,174.193255839298,24196.6079999993,34,4.5,5,4.77777777777778,3,3,2,NA,NA,NA
"01",7,5,8,168.352969831257,24198.309999999,35,5,5.8,5.44444444444444,4,4,3,3,5,4
"01",8,1,13,167.804061032269,24199.0807999986,36,4,4.8,4.44444444444444,4,4,3,NA,NA,NA
"01",8,2,13,183.089314379281,24199.288,37,3,4.2,3.66666666666667,4,3,3,NA,NA,NA
"01",8,3,7,172.022273920608,24199.7387999998,38,4.75,5.2,5,5,4,4,NA,NA,NA
"01",8,4,6,171.634241587607,24198.3179999992,39,4.75,5,4.88888888888889,5,4,4,NA,NA,NA
"01",8,5,7,166.773566109351,24197.2819999995,40,5,5,5,6,5,5,3,5,4
"02",1,1,23,206.965690413293,24197.8763999988,1,3.5,4.6,4.11111111111111,5,4,2,NA,NA,NA
"02",1,2,18,193.362514308563,24196.8996000001,2,4.5,5.6,5.11111111111111,5,4,1,NA,NA,NA
"02",1,3,19,178.928763776753,24198.6991999993,3,4,4.6,4.33333333333333,6,3,1,NA,NA,NA
"02",1,4,14,187.982214349888,24197.2244000006,4,5.25,5.8,5.55555555555556,6,5,1,NA,NA,NA
"02",1,5,19,187.591798740237,24196.9095999998,5,4,4.6,4.33333333333333,5,5,1,2,3,4
"02",2,1,22,197.626774323161,24197.7031999995,6,4,4.8,4.44444444444444,5,4,1,NA,NA,NA
"02",2,2,14,179.443420851168,24197.4371999997,7,5.25,5.8,5.55555555555556,6,5,1,NA,NA,NA
"02",2,3,18,179.558103933036,24197.8467999995,8,4.5,5,4.77777777777778,6,5,1,NA,NA,NA
"02",2,4,16,181.351628793309,24196.6907999999,9,4.75,4.8,4.77777777777778,6,6,1,NA,NA,NA
"02",2,5,13,188.065482094147,24197.753600001,10,4.5,5.4,5,5,6,1,2,3,5
"02",3,1,14,182.647073896689,24198.0408000008,11,4.75,4.8,4.77777777777778,6,5,1,NA,NA,NA
"02",3,2,15,192.49526473316,24198.8907999998,12,4.25,5.6,5,6,6,1,NA,NA,NA
"02",3,3,14,180.316499267109,24198.629999999,13,5,5.8,5.44444444444444,6,6,1,NA,NA,NA
"02",3,4,10,164.125440929363,24197.9659999995,14,5.25,5.8,5.55555555555556,6,6,1,NA,NA,NA
"02",3,5,10,167.418445012683,24199.3303999998,15,5,6,5.55555555555556,6,6,1,3,3,4
"02",4,1,11,162.54746696873,24197.5215999998,16,5,5.8,5.44444444444444,6,6,1,NA,NA,NA
"02",4,2,11,165.632665848768,24198.4715999997,17,4.75,5.8,5.33333333333333,6,6,1,NA,NA,NA
"02",4,3,12,173.815042198496,24197.5151999995,18,5.25,5.8,5.55555555555556,6,6,1,NA,NA,NA
"02",4,4,9,171.0901738067,24197.9123999991,19,5.5,6,5.77777777777778,6,6,1,NA,NA,NA
"02",4,5,22,183.273182841294,24197.9692000009,20,4.75,5.2,5,6,6,1,2,3,5
"02",5,1,10,168.0490912256,24196.4283999985,21,4.5,5,4.77777777777778,6,5,2,NA,NA,NA
